Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm]
EHS_2017_B197,41612,36.86806,42.70856,0.0,0.1,0.05,2017-09-01T00:00,7.39,40.04,0.10,<0.05,6.12,1.31,,2.38,4.11,2.44,4.97,13.91,9.7,20.7,22.5,53.5,14.0,18.2,32.2,85.7,99.60,0.0992
EHS_2017_B199,41614,36.88586,42.70460,0.0,0.1,0.05,2017-09-01T00:00,7.24,44.11,<0.03,3.19,5.19,-0.10,,,,,,,,,,,,,,,,
EHS_2017_B199,41615,36.88619,42.70461,0.0,0.1,0.05,2017-09-01T00:00,7.34,41.22,0.08,0.09,5.38,0.43,,1.59,2.28,1.20,2.58,7.64,4.8,15.6,24.3,45.3,18.7,28.5,47.2,92.5,100.10,0.0529
EHS_2017_B201,41616,36.84221,42.64090,0.0,0.1,0.05,2017-09-01T00:00,7.17,31.06,0.10,0.06,4.38,0.65,,1.26,2.37,1.58,3.44,8.65,6.2,15.8,24.6,47.1,15.7,28.2,43.9,91.0,99.70,0.0636
EHS_2017_B201,41618,36.84221,42.64059,0.0,0.1,0.05,2017-09-01T00:00,7.22,34.10,0.09,<0.05,4.51,0.41,,1.92,2.84,1.84,4.25,10.84,6.8,16.4,25.4,49.5,16.2,23.7,39.9,89.4,100.20,0.1405
EHS_2017_B209,41625,36.88097,42.63129,0.0,0.1,0.05,2017-09-01T00:00,7.35,29.05,0.12,<0.05,4.54,1.05,,3.72,8.32,6.77,12.20,31.01,10.2,16.8,18.4,46.8,12.7,8.9,21.6,68.4,99.40,0.2016
EHS_2017_B210,41630,36.78129,42.74124,0.0,0.1,0.05,2017-09-01T00:00,7.36,26.83,0.18,2.16,4.58,1.36,,4.03,8.91,6.60,12.07,31.61,1.6,0.1,0.6,2.3,63.6,3.8,67.4,69.7,101.30,0.1287
EHS_2017_B212,41631,36.79836,42.75292,0.0,0.1,0.05,2017-09-01T00:00,7.21,32.67,0.23,0.08,6.02,2.10,,2.71,3.84,1.92,4.17,12.63,7.6,20.3,26.3,54.8,15.1,17.6,32.7,87.5,100.10,0.1050
EHS_2017_B217,41634,36.85055,42.59688,0.0,0.1,0.05,2017-09-01T00:00,7.23,32.02,0.18,<0.05,5.45,1.61,,2.85,5.41,3.07,7.38,18.71,10.5,19.9,21.4,52.2,14.8,13.8,28.6,80.8,99.50,0.1117
EHS_2017_B217,41635,36.85063,42.59702,0.0,0.1,0.05,2017-09-01T00:00,7.22,30.09,0.17,<0.05,5.15,1.54,,2.91,4.66,2.67,6.03,16.28,10.4,19.8,23.4,54.4,13.5,15.4,28.9,83.3,99.60,0.1793
EHS_2017_B224,41643,37.06598,42.46490,0.0,0.1,0.05,2017-09-01T00:00,7.12,24.60,0.24,<0.05,5.21,2.26,,3.37,10.26,5.89,7.69,27.21,7.3,15.3,18.4,41.8,13.4,17.7,31.1,72.9,100.10,0.1129
EHS_2017_B227,41647,37.07511,42.46149,0.0,0.1,0.05,2017-09-01T00:00,7.26,32.47,0.06,<0.05,4.33,0.44,,0.95,3.37,17.47,26.18,47.98,13.3,11.6,8.9,36.5,7.1,8.6,15.7,52.2,100.20,0.1892
EHS_2017_B227,41648,37.07573,42.46180,0.0,0.1,0.05,2017-09-01T00:00,7.15,24.02,0.08,<0.05,3.38,0.50,,0.21,1.64,10.27,23.23,35.36,14.5,12.7,8.8,38.0,7.5,19.1,26.6,64.6,100.00,0.2044
EHS_2017_B232b,41653,36.87092,42.57642,0.0,0.1,0.05,2017-09-01T00:00,7.30,37.54,0.22,<0.05,6.67,2.17,,2.95,6.28,3.68,7.52,20.43,13.4,22.2,23.4,60.4,12.2,6.9,19.1,79.5,99.90,0.0857
EHS_2017_B238,41661,37.07486,42.41954,0.0,0.1,0.05,2017-09-01T00:00,7.09,28.36,0.10,<0.05,4.13,0.73,,0.48,2.24,1.78,3.96,8.45,7.7,20.5,30.9,59.4,19.5,12.6,32.1,91.5,100.00,0.1275
EHS_2017_C105,41669,37.07609,42.45593,0.0,0.1,0.05,2017-09-01T00:00,7.26,31.26,0.22,<0.05,6.42,2.67,,3.20,7.47,4.39,7.94,22.99,8.2,18.5,18.6,45.9,13.0,17.8,30.8,76.7,99.70,0.1155
EHS_2017_C114,41670,37.16204,42.71919,0.0,0.1,0.05,2017-09-01T00:00,7.32,26.43,0.07,<0.05,3.42,0.25,,1.63,4.25,2.50,3.41,11.79,4.8,15.8,24.4,45.5,17.0,25.7,42.7,88.2,100.00,0.1322
EHS_2017_C114,41672,37.16232,42.71912,0.0,0.1,0.05,2017-09-01T00:00,7.11,15.46,0.17,<0.05,3.32,1.46,,1.36,7.59,6.60,9.36,24.90,20.2,16.4,9.6,46.9,13.9,14.1,28.0,74.9,99.80,0.3070
EHS_2017_C118,41673,37.20690,42.78170,0.0,0.1,0.05,2017-09-01T00:00,7.38,34.16,0.08,<0.05,4.82,0.72,,3.80,17.48,11.49,13.60,46.36,8.6,11.4,10.9,31.6,8.1,13.5,21.6,53.2,99.60,0.2434
EHS_2017_C118,41675,37.20683,42.78200,0.0,0.1,0.05,2017-09-01T00:00,7.28,33.32,0.12,<0.05,5.10,1.11,,3.50,9.46,6.08,9.03,28.06,8.2,15.5,16.0,40.6,11.5,19.9,31.4,72.0,100.10,0.1020
EHS_2018_B258,47252,36.83002,42.61481,0.0,0.1,0.05,2018-04-23T00:00,7.45,34.75,0.07,<0.05,4.41,0.24,,2.82,2.23,0.80,1.83,7.68,5.2,17.0,28.9,51.5,18.1,22.6,40.7,92.2,99.90,0.0424
EHS_2018_B258,47253,36.83017,42.61468,0.0,0.1,0.05,2018-04-23T00:00,7.45,27.89,0.09,<0.05,4.28,0.93,,1.99,1.75,0.73,1.98,6.45,6.6,17.3,25.0,49.3,15.9,28.0,43.9,93.2,99.60,0.0390
EHS_2018_B258,47254,36.83019,42.61461,0.0,0.1,0.05,2018-04-23T00:00,7.42,30.02,0.09,<0.05,4.14,0.54,,1.92,1.55,0.56,1.44,5.46,5.3,16.9,27.4,50.0,17.1,27.4,44.5,94.5,100.00,0.0324
EHS_2018_B001,47255,36.95906,42.71632,0.0,0.1,0.05,2018-04-23T00:00,7.37,30.40,0.10,<0.05,3.72,0.07,,0.85,1.28,0.73,1.39,4.24,4.6,14.8,22.2,41.9,14.2,39.2,53.4,95.3,99.50,0.0278
EHS_2018_B001,47256,36.95869,42.71731,0.0,0.1,0.05,2018-04-23T00:00,7.36,27.57,0.10,<0.05,3.62,0.31,,0.74,1.02,0.56,1.21,3.53,4.5,15.4,24.0,44.2,13.9,38.4,52.3,96.5,100.00,0.0288
EHS_2018_B001,47257,36.95844,42.71808,0.0,0.1,0.05,2018-04-23T00:00,7.46,38.09,0.07,<0.05,4.98,0.41,,1.68,1.22,0.72,1.65,5.27,3.1,14.4,27.6,45.4,19.9,29.3,49.2,94.6,99.90,0.0402
EHS_2018_B001,47259,36.95836,42.71825,0.0,0.1,0.05,2018-04-23T00:00,7.45,24.79,0.11,<0.05,3.99,1.02,,1.40,1.89,1.00,2.08,6.36,4.2,13.7,24.0,42.0,16.6,34.6,51.2,93.2,99.60,0.0401
EHS_2018_B001,47260,36.95826,42.71901,0.0,0.1,0.05,2018-04-23T00:00,7.46,30.43,0.07,<0.05,4.21,0.56,,1.72,1.65,0.68,1.40,5.46,3.2,11.5,22.7,38.1,15.6,41.0,56.6,94.7,100.20,0.0348
EHS_2018_B001,47261,36.95811,42.71946,0.0,0.1,0.05,2018-04-23T00:00,7.43,26.41,0.12,<0.05,4.13,0.96,,1.72,1.55,1.04,2.17,6.49,6.4,17.2,24.1,48.6,15.1,30.1,45.2,93.8,100.30,0.0374
B07_2022_003,53741,36.93391,42.53645,0.0,0.1,0.05,2022-09-24T00:00,7.21,54.98,0.19,0.06,8.64,2.04,292.0,6.55,4.83,2.98,6.09,20.45,13.6,28.3,19.5,61.4,6.9,11.7,18.6,80.0,100.45,0.1271
B07_2022_003,53745,36.93391,42.53645,0.7,1.0,0.85,2022-09-24T00:00,7.50,59.94,0.06,<0.05,7.88,0.69,,4.16,5.87,2.98,5.81,18.82,11.5,25.6,19.5,56.6,6.5,17.6,24.1,80.7,99.52,0.1000
B07_2022_004,53746,36.99346,42.47212,0.0,0.1,0.05,2022-09-17T00:00,6.98,18.31,0.13,<0.05,3.28,1.08,223.0,1.00,0.97,0.85,8.39,11.20,22.6,14.2,14.3,51.1,15.3,22.6,37.9,89.0,100.20,0.0400
B07_2022_007,53756,36.95164,42.61817,0.0,0.1,0.05,2022-09-25T00:00,7.14,20.49,0.27,0.05,5.06,2.60,302.0,2.91,16.30,12.93,12.77,44.91,7.1,13.4,14.3,34.8,11.0,9.2,20.2,55.0,99.91,0.1400
B07_2022_007,53758,36.95164,42.61817,0.3,0.5,0.40,2022-09-25T00:00,7.23,24.62,0.12,<0.05,3.73,0.78,189.0,4.05,16.58,13.05,12.42,46.09,8.1,31.7,4.6,44.4,6.0,3.8,9.8,54.2,100.29,0.1600
B07_2022_008,53761,37.06409,42.58075,0.0,0.1,0.05,2022-09-13T00:00,7.12,33.36,0.22,<0.05,6.86,2.86,344.0,4.86,4.71,2.91,7.55,20.03,15.8,19.6,15.8,51.2,14.4,14.3,28.7,79.9,99.93,0.1100
B07_2022_014,53787,37.01728,42.69923,0.0,0.1,0.05,2022-08-23T00:00,6.97,26.00,0.10,<0.05,4.11,0.99,274.0,1.50,2.54,0.88,1.42,6.33,4.1,13.2,22.9,40.2,16.7,36.6,53.3,93.5,99.83,0.0400
B07_2022_016,53801,36.91840,42.59191,0.7,1.0,0.85,2022-09-24T00:00,7.06,34.40,0.03,<0.05,4.39,0.26,206.0,0.33,5.72,6.81,15.08,27.94,26.7,9.7,7.8,44.2,8.0,19.0,27.0,71.2,99.14,0.0700
B07_2022_017,53802,36.89790,42.51380,0.0,0.1,0.05,2022-09-04T00:00,7.22,29.02,0.07,0.07,4.38,0.90,827.0,0.21,0.27,0.42,19.57,20.47,28.6,19.5,12.2,60.3,7.5,12.0,19.5,79.8,100.27,0.0400
B07_2022_018,53807,36.82340,42.75568,0.0,0.1,0.05,2022-08-22T00:00,7.12,30.36,0.09,<0.05,4.55,0.90,273.0,3.92,1.73,1.17,1.46,8.28,5.0,14.9,25.6,45.5,17.6,28.3,45.9,91.4,99.68,0.0700
B07_2022_019,53814,36.80041,42.72450,0.3,0.5,0.40,2022-08-22T00:00,7.32,45.61,0.04,<0.05,5.86,0.39,102.0,0.08,0.46,0.46,1.71,2.71,10.1,28.1,22.9,61.1,10.5,25.0,35.5,96.6,99.31,0.0100
B07_2022_020,53817,37.02227,42.54990,0.0,0.1,0.05,2022-08-28T00:00,7.07,28.99,0.09,<0.05,4.15,0.67,243.0,1.15,1.18,0.54,1.21,4.08,7.8,26.5,16.2,50.5,28.4,16.0,44.4,94.9,98.98,0.0300
B07_2022_022,53827,37.03972,42.58633,0.0,0.1,0.05,2022-09-03T00:00,7.14,35.11,0.16,<0.05,6.07,1.86,274.0,4.88,4.50,2.67,5.35,17.41,8.8,16.1,20.3,45.2,14.6,22.4,37.0,82.2,99.61,0.1000
B07_2022_027,53853,37.04941,42.57156,0.7,1.0,0.85,2022-09-03T00:00,7.11,30.58,0.07,<0.05,4.40,0.73,208.0,1.57,2.23,1.14,2.10,7.04,4.1,13.9,23.3,41.3,16.1,35.3,51.4,92.7,99.74,0.0400
B07_2022_028,53854,37.03252,42.56861,0.0,0.1,0.05,2022-09-03T00:00,7.03,30.44,0.07,<0.05,4.13,0.47,308.0,1.43,1.22,0.49,1.14,4.27,3.7,13.8,26.3,43.8,19.0,32.5,51.5,95.3,99.57,0.0300
B07_2022_030,53863,36.79459,42.63786,0.0,0.1,0.05,2022-09-19T00:00,7.32,33.13,0.04,<0.05,4.10,0.13,361.0,5.32,4.87,2.22,4.02,16.43,7.5,14.1,19.7,41.3,12.7,29.6,42.3,83.6,100.03,0.1000
B07_2022_030,53867,36.79459,42.63786,0.7,1.0,0.85,2022-09-19T00:00,7.34,34.17,0.03,<0.05,4.49,0.39,213.0,3.72,5.27,1.85,2.53,13.38,5.9,14.8,23.7,44.4,14.0,27.6,41.6,86.0,99.38,0.0800
B07_2022_031,53868,36.87685,42.68938,0.0,0.1,0.05,2022-09-21T00:00,7.13,20.65,0.13,<0.05,4.11,1.63,400.0,2.75,2.83,1.41,6.36,13.36,5.7,13.6,18.6,37.9,15.2,33.4,48.6,86.5,99.86,0.0600
B07_2022_031,53870,36.87685,42.68938,0.3,0.5,0.40,2022-09-21T00:00,7.33,20.96,0.05,<0.05,2.67,0.15,105.6,0.24,0.40,0.37,1.70,2.72,4.2,12.1,17.7,34.0,15.1,48.2,63.3,97.3,100.02,0.0100
B07_2022_031,53871,36.87685,42.68938,0.5,0.7,0.60,2022-09-21T00:00,7.34,20.91,0.04,<0.05,2.78,0.27,857.0,0.11,0.44,0.34,1.36,2.24,3.1,11.2,17.5,31.8,13.7,52.0,65.7,97.5,99.74,0.0100
B07_2022_031,53872,36.87685,42.68938,0.7,1.0,0.85,2022-09-21T00:00,7.35,19.53,0.04,<0.05,2.83,0.48,932.0,0.28,0.45,0.35,1.22,2.31,3.3,12.6,18.0,33.9,14.0,49.8,63.8,97.7,100.01,0.0100
B07_2022_033,53878,37.01257,42.50428,0.0,0.1,0.05,2022-09-17T00:00,7.28,40.78,0.16,<0.05,6.96,2.07,248.0,10.90,14.19,6.12,9.08,40.29,10.4,13.1,13.9,37.4,8.2,13.7,21.9,59.3,99.59,0.2300
B07_2022_033,53881,37.01257,42.50428,0.5,0.7,0.60,2022-09-17T00:00,7.52,50.09,0.08,<0.05,8.04,2.03,,,,,,,,,,,,,,,,
B07_2022_034,53884,36.97601,42.52069,0.1,0.3,0.20,2022-09-24T00:00,7.25,22.69,0.11,<0.05,3.69,0.97,355.0,0.68,3.43,1.94,2.15,8.20,2.8,11.2,22.0,36.0,13.5,42.1,55.6,91.6,99.80,0.0300
